ID,NAME,LAT,LON,ZoneType,StationType,EOI.StationCode
ANN,p.le D'Annunzio - Udine,46.0578355,13.245081,Urban,Traffic,IT1151A
AOS,via Duca D'Aosta - Gorizia,45.9370116,13.616333,Urban,Traffic,IT1587A
BAN,via di Tor Bandena - Trieste,45.6500956,13.7710353,Urban,Background,IT1537A
BAT,via Battisti - Trieste,45.65308,13.781464,Urban,Traffic,IT1138A
BRU,Brugnera,45.8986483,12.5363089,Suburban,Background,IT1097A
CAI,via Cairoli - Udine,46.0661156,13.2406876,Urban,Background,IT0966A
CAN,Caneva,45.9659362,12.4446162,Urban,Traffic,IT1107A
CAR,via del Carpineto - Trieste,45.6231899,13.7874573,Suburban,Industrial,IT1090A
CAS,Castions delle Mura - Bagnaria Arsa,45.842075,13.3019659,Rural,Background,IT2169A
CIV,Cividale Z.I.,46.0843461,13.3899853,Suburban,Industrial,
CLA,Claut,46.2629761,12.4684609,Rural,Background,IT1478A
CRL,Carlino,45.8002087,13.2006608,Rural,Background,
DBR,Doberdò A2A,45.8429818,13.5430546,Rural,Industrial,IT2130A
DOB,Doberdò del Lago,45.8438605,13.5447226,Rural,Background,IT1474A
EDI,Edison (via Marconi) - Torviscosa,45.8219883,13.2713955,Suburban,Background,IT2152A
FAN,Fanna,46.1820959,12.7485501,Suburban,Industrial,IT1113A
FIU,Fiumicello A2A,45.7994476,13.4232416,Rural,Background,IT2133A
GRA,Grado A2A,45.7397479,13.4764954,Rural,Background,IT2131A
LIB,piazza Libertà - Trieste,45.6571,13.7721,Urban,Traffic,IT1137A
LIG,Lignano,45.6756874,13.1067053,Urban,Traffic,IT1167A
LUC,Lucinico - Gorizia,45.9310836,13.5723057,Urban,Traffic,IT1216A
LUG,p.le XXVI Luglio - Udine,46.0605031,13.2293596,Urban,Traffic,IT0758A
MAL,Malisana - Torviscosa,45.8107802,13.2621276,Rural,Industrial,IT2170A
MAN,v.Manzoni - Udine,46.0593981,13.2371347,Urban,Traffic,IT0760A
MAR,viale Marconi - Pordenone,45.9623374,12.6579491,Urban,Traffic,IT2201A
MNF,Monfalcone A2A,45.8051882,13.5220592,Urban,Background,IT2129A
MON,Monfalcone,45.8100089,13.5288611,Urban,Background,IT1538A
MOR,Morsano al Tagliamento,45.8682412,12.9314289,Suburban,Background,IT2115A
MOV,Monfalcone - Area Verde,45.802963,13.544501,Urban,Background,IT2293A
MSP,Monte San Pantaleone - Trieste,45.6187353,13.7945056,Suburban,Industrial,
MUG,Muggia,45.599455,13.7800136,Suburban,Industrial,IT1477A
OPP,Osoppo,46.221007,13.0668945,Suburban,Industrial,IT1259A
ORL,via Orlandini - Trieste,45.6390286,13.7818052,Urban,Industrial,
OSO,p.le Osoppo - Udine,46.07101,13.2345592,Urban,Traffic,IT1305A
OSV,Sant'Osvaldo - Udine,46.0350956,13.2252971,Suburban,Background,IT1170A
PCA,p.zza Carlo Alberto,45.642317,13.756047,Urban,Background,IT2262A
PIT,via Pitacco - Trieste,45.6242061,13.7802604,Suburban,Industrial,EX-IT1475A
PNC,Pordenone Centro,45.96254,12.65595,Urban,Traffic,IT2201A
PNG,Porto Nogaro,45.8163219,13.211096,Suburban,Background,
PON,v. del Ponticello,45.62062,13.783761,Suburban,Industrial,IT2263A
POR,Porcia,45.9576658,12.618708,Suburban,Background,IT1112A
PRA,Prata di Pordenone,45.8961504,12.5995762,Urban,Traffic,IT1098A
PVG,p.zza Volontari Giuliani,45.654389,13.788947,Urban,Traffic,IT2261A
RFI,via San Lorenzo in Selva - Trieste,45.6224167,13.7801056,Suburban,Industrial,
RON,Ronchi A2A,45.840612,13.4983665,Rural,Background,IT2132A
ROS,p.le Rosmini - Trieste,45.640486,13.766081,Urban,Background,IT2280A
SAB,via San Sabba - Trieste,45.617628,13.7878046,Suburban,Industrial,IT1651A
SAC,Sacile,45.9491335,12.4962289,Suburban,Traffic,IT2200A
SCL,Sacile1,45.95092,12.50168,Suburban,Traffic,IT2200A
SDN,via San Daniele - Udine,46.0709611,13.2298461,Urban,Traffic,IT2140A
SDO,Punta Sdobba,45.727675,13.5411722,Rural,Background,
SEQ,Sequals,46.1631431,12.8877763,Suburban,Background,IT1108A
SGI,San Giusto - Trieste,45.6475216,13.7738698,Urban,Background,
SGN,S.Giorgio di Nogaro,45.8132945,13.2156866,Suburban,Industrial,IT0821A
SGV,San Giovanni al Natisone,45.9733094,13.3934033,Suburban,Background,IT1168A
SIN,Basovizza Sincrotrone,45.647306,13.854972,Rural,Background,IT2260A
SVE,via Svevo - Trieste,45.6303298,13.7807863,Urban,Traffic,IT1476A
TAR,Tarvisio,46.503385,13.5769663,Suburban,Background,
TCC,via Tacco - Trieste,45.6394171,13.7760483,Urban,Industrial,
TOL,Tolmezzo,46.4018691,13.0109822,Urban,Background,IT1166A
TRI,Tribil,46.119308,13.5853482,Rural,Background,
TRV,Torviscosa,45.819619,13.2753353,Suburban,Industrial,IT0822A
TUG,Tugliezzo,46.3813656,13.1508466,Rural,Background,
UGO,Ugovizza - Tarvisio,46.5100184,13.4745167,Suburban,Background,IT2182A
VBR,via Von Bruck - Trieste,45.637181,13.7714907,Urban,Industrial,
VIC,p.zza vico - Trieste,45.6454732,13.7750267,Urban,Traffic,IT1140A
ZON,Monte Zoncolan,46.5070964,12.93175,Rural,Background,IT1539A
